text,label
"Preciso de uma atualização sobre o chamado 1234, houve progresso?",Produtivo
Bom dia! Feliz Natal a todos e muito sucesso.,Improdutivo
Anexo o relatório mensal. Favor confirmar recebimento.,Produtivo
"Agradeço pelo suporte, tudo certo por aqui.",Improdutivo
Existe alguma previsão para a entrega do documento solicitado?,Produtivo
"Parabéns pelo projeto, excelente trabalho!",Improdutivo
"Solicito a correção do boleto em anexo, o valor está incorreto.",Produtivo
Obrigado pelo retorno.,Improdutivo
"Por favor, envie as notas fiscais do mês anterior.",Produtivo
Bom fim de semana a todos.,Improdutivo
"Temos um problema com a integração, status urgente?",Produtivo
"Recebi a mensagem, obrigado!",Improdutivo
Preciso que verifiquem o pagamento do pedido #998.,Produtivo
Feliz Ano Novo e votos de prosperidade.,Improdutivo
Podem me passar o protocolo do atendimento por favor?,Produtivo
"Ótimo evento ontem, parabéns!",Improdutivo
Solicito reprocessamento do arquivo que não foi importado.,Produtivo
"Obrigado pelo convite, não poderei comparecer.",Improdutivo
"Há divergência nos dados enviados no CSV, favor checar.",Produtivo
"Recebido, boa tarde.",Improdutivo
Solicito suporte para acesso ao ambiente de homologação.,Produtivo
Apenas passando para desejar boas festas.,Improdutivo
Favor atualizar o prazo do projeto e confirmar novo cronograma.,Produtivo
"Excelente apresentação, muito obrigado!",Improdutivo
"Preciso do laudo técnico, é urgente.",Produtivo
"Obrigado, as informações foram úteis.",Improdutivo
Existe um erro no sistema ao tentar gerar relatório.,Produtivo
"Que bom saber, sucesso!",Improdutivo
